Name,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,lon,lat,magnitude
Eolos,Commercial Scale Wind,University of Minnesota,University of Minnesota,Xcel Energy,Rosemount MN,2.5,1,2011,Clipper,In Service,"44.7246529°, -93.0876783°",-93.0876783,44.7246529,2.168317232932276,-2.8899026612940175
Equity Industrial Partners,Community Wind,Equity Industrial Turbines LLC,Equity Industrial Turbines LLC,City of Gloucester,Gloucester MA,4,2,2012,Gamesa,In Service,"42.625864°, -70.65621°",-70.65621,42.625864,3.9978244178681996,0.06257484042751137
Eswood School,Community Wind,Eswood School,Eswood School,Eswoood School - excess to utilities,Lindenwood IL,0.23,1,2012,Rock-Wind LLC (refurb),In Service,"42.05673329°, -89.03339624°",-89.03339624,42.05673329,1.7182840749202781,-0.7812829643279079
Eudora High School Wind Project,Community Wind,,,,KS,0,1,,SkyStream,,"38.922672°, -95.097763°",-95.097763,38.922672,3.5499295627966863,-2.3442428794029007
Eva Creek Wind Project,Commercial Scale Wind,Golden Valley Electric Association,Golden Valley Electric Association,Golden Valley Electric Association,NE corner of Denali Natl Park AK,24.6,12,2012,REpower,In Service,"64.0602°, -148.9054°",-148.9054,64.0602,1.4480676561443506,-1.829174530312254
Evansville WI (WWTP),Definition:Small Scale Wind,Evansville WI (WWTP),,Evansville WI (WWTP),Evansville WI,0.1,1,2010,Northern Power Systems,In Service,"42.77765315°, -89.28004146°",-89.28004146,42.77765315,4.179425758497407,-2.7121928835126985
Eve,Commercial Scale Wind,GSG 7 LLC,GSG 7 LLC,ComEd,Sublette IL,2.5,1,2012,Clipper,In Service,"41.61974148°, -89.35523987°",-89.35523987,41.61974148,1.637467600217998,-0.2657164278950468
Ewington Wind Farm,Commercial Scale Wind,John Deere Wind Energy,Community,Northern States Power,Worthington MN,21,10,2008,Suzlon Energy Company,In Service,"43.621733°, -95.678694°",-95.678694,43.621733,2.593877447154625,-2.576046184103581
F.E. Warren Air Force Base Wind Farm,Community Wind,F.E. Warren Air Force Base,F.E. Warren Air Force Base,F.E. Warren Air Force Base,Near Cheyenne WY,1.32,2,2005,Vestas,In Service,"41.175569°, -104.880778°",-104.880778,41.175569,2.011094277175623,-2.874904515788403
FERN Blue Ribbon Wind Farm I,Offshore Wind,,Fishermen's Energy,,Offshore from Atlantic City NJ,25,6,,XEMC-Darwind,Proposed,"39.311°, -74.41°",-74.41,39.311,4.240117937822951,0.895687034470734
FERN Blue Ribbon Wind Farm II*,Offshore Wind,,Fishermen's Energy,,Offshore from Atlantic City NJ,330,66,,Undetermined,Proposed,"39.183°, -74.428°",-74.428,39.183,4.751641919240975,0.9664495882223549
Fairhaven Wind,Community Wind,Solaya Energy / Palmer Capital / CTI Energy,Solaya Energy,Town of Fairhaven,Fairhaven MA,3,2,2012,Sinovel,In Service,"41.63885963°, -70.87331772°",-70.87331772,41.63885963,2.8908304445573596,0.08658850007226022
Falmouth Wastewater,Community Wind,Falmouth Wastewater,Falmouth Wastewater,Falmouth Wastewater,Falmouth MA,1.65,1,2010,Vestas,In Service,"41.566789°, -70.608791°",-70.608791,41.566789,4.645212455901433,0.047378312248779524
Falmouth Wind 2,Commercial Scale Wind,Town of Falmouth,Lumus,Net-metered,East Falmouth MA,1.65,1,2012,Vestas,In Service,"41.60764536°, -70.62101841°",-70.62101841,41.60764536,3.3671945733086814,0.0653828637611045
Farmer's Cooperatives Wind Farm,Commercial Scale Wind,,DanMar & Associates,Xcel/ Great River Energy,Jackson County MN,5.7,6,2004,Vestas,In Service,"43.612366°, -95.142403°",-95.142403,43.612366,2.758296634754557,-2.918598134538577
Farmers City Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,,Atchison County MO,146,73,2010,Gamesa,In Service,"40.438596°, -95.469482°",-95.469482,40.438596,1.8067927480295785,-2.0418695347644484
Federated Wind Farm,Commercial Scale Wind,Federated,Federated,,MN,2.1,1,2008,Suzlon Energy Company,In Service,"46.729553°, -94.6858998°",-94.6858998,46.729553,1.2881770008997995,-2.400122248289386
Fenner,Commercial Scale Wind,Enel Green Power North America,Enel Green Power North America,NYSERDA,Cazenovia NY,1.5,1,2012,Goldwind,In Service,"42.971519°, -75.759939°",-75.759939,42.971519,2.080624839049907,0.10110337183956368
Fenner Wind Power Project,Commercial Scale Wind,Enel North America,Atlantic Renewable Energy,Market,Fenner NY,30,20,2001,GE Energy,In Service,"43.000482°, -75.762498°",-75.762498,43.000482,1.9849433772781646,0.21320450683314618
Fenton Wind Power Project,Commercial Scale Wind,EnXco,EnXco,Xcel Energy,Murray and Nobles Counties near Chandler MN,205.5,137,2007,GE Energy,In Service,"43.909806°, -95.965884°",-95.965884,43.909806,2.1750631940584126,-2.1830288889407155
Ferndale High School Wind Project,Community Wind,,,,WA,0,1,,SkyStream,,"48.852478°, -122.592613°",-122.592613,48.852478,0.7244998029178121,1.113321473221157
Field's Point Wastewater Treatment Facility (Narragansett Bay Commission),Community Wind,Gilbane Building Company,Narragansett Bay Commission,Field's Point,Providence RI,4.5,3,2012,Goldwind,In Service,"41.79260859°, -71.3896966°",-71.3896966,41.79260859,2.770938469622137,0.12301211391329236
Fire Island Wind Project,Commercial Scale Wind,CIRI,Fire Island Wind LLC,Chugach,Fire Island AK,17.6,11,2012,GE Energy,In Service,"61.144146°, -150.217652°",-150.217652,61.144146,5.240238333516261,1.8810808956288616
First State Marine Wind,Offshore Wind,Gamesa / Blue Hen Wind Inc,First State Marine Wind LLC,,Atlantic Ocean DE,5,1,,Gamesa,Proposed,"38.836°, -75.154°",-75.154,38.836,3.3110271158516533,1.25764156357773
Flagler Public School Wind Project,Community Wind,,,,CO,0,1,2009,SkyStream,In Service,"39.29437°, -103.07245°",-103.07245,39.29437,3.9172055804973156,-1.9887614704141396
Flat Ridge 2,Commercial Scale Wind,BP Wind Energy / Sempra Energy,BP Wind Energy,Associated Electric Cooperative Inc / Southwestern Electric Power,Nashville KS,419.2,262,2012,GE Energy,In Service,"37.367868°, -98.240757°",-98.240757,37.367868,6.463443412772524,-1.6559933194311167
Flat Ridge 2 Expansion,Commercial Scale Wind,BP Wind Energy,BP Wind Energy,Arkansas Electric Cooperative Corp,Sharon KS,51.2,32,2012,GE Energy,In Service,"37.383239°, -98.334088°",-98.334088,37.383239,6.485938469717847,-1.7022271331024958
Flat Ridge Wind Farm,Commercial Scale Wind,BP Wind Energy North America/Weststar Energy,BP Wind Energy North America,Weststar Energy,Barber County KS,100,40,2009,Clipper,In Service,"37.3694801°, -98.4603352°",-98.4603352,37.3694801,6.415177201568704,-1.6895442655040065
Flat Water Wind Farm,Commercial Scale Wind,Gestamp Wind North America,Flat Water Wind Farm,Omaha Public Power District,Richardson County NE,60,40,2011,GE Energy,In Service,"40.001077°, -95.955119°",-95.955119,40.001077,3.1592563371569877,-2.146508056691778
Flinthills Tech College Wind Project,Community Wind,,,,KS,0,1,,SkyStream,,"38.419289°, -96.223602°",-96.223602,38.419289,5.526029148136766,-2.2175547586796096
Florence High School Wind Project,Community Wind,,,,CO,0,1,2012,SkyStream,In Service,"38.40648°, -105.1118°",-105.1118,38.40648,1.5206906239514848,-3.022947216383346
Flying Cloud Wind Farm,Commercial Scale Wind,PPM Energy Inc,Clipper Windpower,Alliant/IES Utilities,West of Spirit Lake IA,43.5,29,2003,GE Energy,In Service,"43.416975°, -95.422282°",-95.422282,43.416975,3.314287291245133,-2.6617521436990654
Foote Creek Rim I Wind Farm,Commercial Scale Wind,PacifiCorp/Eugene Water & Electric Board,SeaWest/Tomen,PacifiCorp/Eugene Water & Electric Board,Carbon County WY,41.4,69,1999,Mitsubishi,In Service,"41.652605°, -106.189914°",-106.189914,41.652605,6.271594687013403,2.633719804059816
Foote Creek Rim II Wind Farm,Commercial Scale Wind,Caithness,SeaWest,Bonneville Power Admin,Carbon County WY,1.8,3,1999,Mitsubishi,In Service,"41.663881°, -106.186001°",-106.186001,41.663881,6.271594687013403,2.633719804059816
Foote Creek Rim III Wind Farm,Commercial Scale Wind,Caithness,SeaWestM&N Wind Power,Xcel Energy,Carbon County WY,24.75,33,1999,NEG Micon,In Service,"41.643488°, -106.198876°",-106.198876,41.643488,6.271594687013403,2.633719804059816
Foote Creek Rim IV Wind Farm,Commercial Scale Wind,Caithness,SeaWest,Bonneville Power Admin,Carbon County WY,16.8,28,2000,Mitsubishi,In Service,"41.626456°, -106.202095°",-106.202095,41.626456,6.271594687013403,2.633719804059816
Forbes Park Wind Farm,Commercial Scale Wind,Forbes Park,Boreal Renewable Energy,Forbes Park,Chelsea MA,0.6,1,2008,,In Service,"42.3917638°, -71.0328284°",-71.0328284,42.3917638,3.2526912229609124,-0.14189705589991705
Forest City High School Wind Farm,Community Wind,Forest City High School,Forest City High School,Forest City Community School District,Forest City IA,0.6,1,1999,Nordex,In Service,"43.266011°, -93.653378°",-93.653378,43.266011,5.256804884176649,-3.061610967857405
Forest Creek Wind Farm,Commercial Scale Wind,E.On Climate & Renewables,E.On Climate & Renewables/RGI,Luminant,Glasscock and Sterling Counties TX,124.2,54,2006,Siemens,In Service,"31.937348°, -101.312513°",-101.312513,31.937348,3.6710351658490015,1.403856330137483
Fort Totten Wind Farm,Definition:Small Scale Wind,Spirit Lake Sioux,,Spirit Lake Sioux,Fort Totten ND,0.1,1,1997,NEG Micon,In Service,"47.9817°, -99.0029°",-99.0029,47.9817,1.3309395606973757,1.6083726154856837
Forward Expansion Wind Farm,Commercial Scale Wind,Invenergy,Invenergy,Alliant- Wisconsin Public Service-Madison Gas & Electric- Wisconsin Public Power,Dodge and Fond du Lac Counties WI,30,20,2008,GE Energy,In Service,"43.631519°, -88.556421°",-88.556421,43.631519,3.8043396384756467,-2.1274452358220883
Forward Fontanelle,Community Wind,Forward Fontanelle Power LLC (community owned),,City of Fontanelle - excess to Central Iowa Power Coopeative,Fontanelle IA,1.6,1,2012,GE Energy,In Service,"41.33958763°, -94.5707202°",-94.5707202,41.33958763,0.4512205649124824,-2.9181160480578554
Forward Phase I Wind Farm,Commercial Scale Wind,Invenergy,Invenergy,Alliant- Wisconsin Public Service- Madison Gas & Electric-Wisconsin Public Power,Dodge and Fond du Lac Counties WI,99,66,2008,GE Energy,In Service,"43.606819°, -88.534834°",-88.534834,43.606819,3.6942388117648504,-2.1205005857255306
Forward Wind Farm,Commercial Scale Wind,Edison Mission Group,Edison Mission Group,N/a,Shade Township Park PA,29.4,14,2008,Suzlon Energy Company,In Service,"40.11541°, -78.805529°",-78.805529,40.11541,1.2728315041497984,0.8911474459434373
Fossil Gulch Wind Park,Commercial Scale Wind,Exergy Development Group/United Materials,Exergy Development Group/United Materials,Idaho Power,Northwest of Hagerman ID,10.5,7,2005,GE Energy,In Service,"42.814261°, -114.996665°",-114.996665,42.814261,2.1731313938269525,0.5254245849495718
Fowler Ridge II Wind Farm,Commercial Scale Wind,BP Alternative Energy,BP Alternative Energy,AEP/Vectron Energy,Benton County IN,199.5,133,2009,GE Energy,In Service,"40.613872°, -87.318692°",-87.318692,40.613872,2.4020408556431043,-2.0139626044340475
Fowler Ridge Wind Farm Phase I (Clipper),Commercial Scale Wind,BP Alternative Energy/Dominion Energy,BP Alternative Energy/Dominion Energy,AEP-Appalachian Power/AEP-Indiana Michigan Power,Benton and Tippecanoe Counties IN,100,40,2009,Clipper,In Service,"40.613872°, -87.318692°",-87.318692,40.613872,2.4020408556431043,-2.0139626044340475
Fowler Ridge Wind Farm Phase I (Vestas),Commercial Scale Wind,BP Alternative Energy/Dominion Energy,BP Alternative Energy/Dominion Energy,AEP-Appalachian Power/AEP-Indiana Michigan Power,Benton and Tippecanoe Counties IN,300.3,182,2009,Vestas,In Service,"40.613872°, -87.318692°",-87.318692,40.613872,2.4020408556431043,-2.0139626044340475
Fox Islands Wind Project,Commercial Scale Wind,Fox Islands Electric Cooperative,Fox Islands Electric Cooperative,Fox Islands Electric Cooperative,Vinalhaven Island ME,4.5,1,2009,GE Energy,In Service,"44.088391°, -68.857802°",-68.857802,44.088391,7.81384664701851,0.07814605829620931
Franklin County Wind LLC,Commercial Scale Wind,Franklin County Wind LLC,Franklin County Wind LLC,Merchant (MISO),Franklin County IA,99,60,2012,Vestas,In Service,"42.61481487°, -93.36564124°",-93.36564124,42.61481487,1.8317204427186593,-2.122451315718792
Franklin County Wind Project,Community Wind,,,,,0,1,,SkyStream,,"37.014702°, -79.895096°",-79.895096,37.014702,0.9424436195418223,-1.2356237522763676
Frey Farm,Community Wind,PPL Renewable Energy,PPL Renewable Energy LLC / Lancaster County Solid Waste Management Authority,Turkey Hill Dairy,Conestoga PA,3.2,2,2011,GE Energy,In Service,"39.95904681°, -76.45606756°",-76.45606756,39.95904681,0.6888396133169198,0.4831256459749805
Frisco,Commercial Scale Wind,DeWind,DeWind,,Guymon OK,20,10,2012,DeWind,In Service,"36.49783848°, -101.4879227°",-101.4879227,36.49783848,6.790912816917079,-1.69332484103469
G. McNeilus Wind Farm,Commercial Scale Wind,,G. McNeilus,Dairyland Power Cooperative/others,Adams MN,13.5,9,2003,,In Service,"43.554778°, -92.728908°",-92.728908,43.554778,3.391577716660747,-2.7095967416831654
G.M. Allen & Sons Wind Farm,Definition:Small Scale Wind,Endless Energy,Endless Energy,G.M. Allen & Sons farm,Orland ME,0.05,1,2001,Atlantic Orient Co.,In Service,"44.5704°, -68.7379°",-68.7379,44.5704,4.532295285597473,-0.20215537126089264
G3 Wind Farm,Community Wind,G3,Bob Lewandowski,,Southeast of Boise ID,0.22,3,2003,,In Service,"43.5141°, -116.088°",-116.088,43.5141,1.394632589681129,-1.3171222390836457
GL Wind,Commercial Scale Wind,GL Wind,Juhl Wind,Xcel Energy,Lewiston MN,4.95,2,2011,Clipper,In Service,"43.99800118°, -91.85827732°",-91.85827732,43.99800118,2.3168297381079426,-2.5248554308659243
GSA,Commercial Scale Wind,GSA,,GSA,Jackman ME,0.2,2,2010,Northern Power Systems,In Service,"45.80535736°, -70.39613128°",-70.39613128,45.80535736,4.656006783051155,-0.15526200314541216
GSG Wind Farm,Commercial Scale Wind,Babcock & Brown,FPC Services,,Lee and LaSalle Counties IL,80,40,2007,Gamesa,In Service,"41.710895°, -89.050004°",-89.050004,41.710895,1.980404015079374,-0.3504966283221724
GWE LLC,Commercial Scale Wind,Goodwind Energy Inc,Goodwind Energy Inc,Central Iowa Power Cooperative,,4,2,2012,HZ Windpower,In Service,"42.00274891°, -93.48017693°",-93.48017693,42.00274891,1.7376996784324727,0.20868176470373676
Gaines Cavern Wind Project,Commercial Scale Wind,General Compression,Texas Dispatchable Wind 1 LLC,,Gaines County TX,2,1,2012,Gamesa,In Service,"32.688556°, -103.062464°",-103.062464,32.688556,10.197813907251822,-2.0006700160734057
Galactic Wind,Commercial Scale Wind,Epic Systems,Epic Systems,Epic Systems,Waunakee WI,9.9,6,2012,Vestas,In Service,"43.17297°, -89.560688°",-89.560688,43.17297,3.6913139971731392,-2.4444263663015193
Galveston Offshore Wind Farm,Offshore Wind,Wind Energy Systems Technology,Wind Energy Systems Technology,,Offshore from Galveston TX,150,50,,XEMC,Proposed,"29.161°, -94.797°",-94.797,29.161,2.067002615298134,0.36613181910599507
Galveston Offshore Wind Phase 2,Offshore Wind,Coastal Point Energy LLC,Coastal Point Energy LLC,,Gulf of Mexico TX,150,75,,XEMC,Proposed,"29.16°, -94.747°",-94.747,29.16,2.067002615298134,0.36613181910599507
Galveston Test,Offshore Wind,Coastal Point Energy LLC,Galveston Offshore Wind LLC,,Gulf of Mexico TX,3,1,,Mingyang,Proposed,"29.161°, -94.773°",-94.773,29.161,2.067002615298134,0.36613181910599507
Garden State Offshore Wind Farm,Offshore Wind,,Garden State Offshore Energy,,Offshore from Avalon NJ,350,96,,Undetermined,Proposed,"39.08°, -74.310556°",-74.310556,39.08,5.518931026785986,1.036591795825202
Garnet Wind,Commercial Scale Wind,Azusa Light & Water,Azusa Light & Water,Azusa Light & Water,Palm Springs CA,6.5,13,2009,,In Service,"33.918267°, -116.701076°",-116.701076,33.918267,2.8259688047771476,-0.10635869987052236
Gary Wind Energy Project,Definition:Small Scale Wind,Energy Maintenance Services-Distributed Energy Services,Energy Maintenance Services-Distributed Energy Services,Energy Maintenance Services-Distributed Energy Services,Gary SD,0.09,1,2002,Vestas,In Service,"44.7906°, -96.4546°",-96.4546,44.7906,2.5321334986864454,-1.3881169753800673
Georgia Mountain,Commercial Scale Wind,All Earth Renewables,All Earth Renewables,Green Mountain Power,Milton VT,10,4,2012,Goldwind,In Service,"44.662351°, -73.067991°",-73.067991,44.662351,1.6831518029856285,-0.8022033379963324
Gilpin County School Wind Project,Community Wind,,,,CO,0,1,2010,SkyStream,In Service,"39.83755°, -105.47945°",-105.47945,39.83755,0.7451845285205552,2.4416997887007477
Glacier Hills,Commercial Scale Wind,We Energies,We Energies,We Energies,Between Portage and Randolph above Highway 33 WI,162,90,2011,Vestas,In Service,"43.572059°, -89.111309°",-89.111309,43.572059,3.7865155762820897,-2.1397535977316595
Glacier I Wind Farm,Commercial Scale Wind,NaturEner,NaturEner,,Near Ethridge MT,106.5,71,2008,Acciona,In Service,"48.555639°, -112.120992°",-112.120992,48.555639,1.4515164401791867,1.2555816338338361
Glacier II,Commercial Scale Wind,NaturEner,NaturEner,San Diego Gas & Electric,Near Ethridge MT,103.5,69,2009,Acciona,In Service,"48.555639°, -112.120992°",-112.120992,48.555639,1.4515164401791867,1.2555816338338361
Glenrock III Wind Farm,Commercial Scale Wind,EnXco,PacifiCorp,EnXco,Converse WY,39,26,2009,GE Energy,In Service,"43.0347917°, -105.8439737°",-105.8439737,43.0347917,4.741022912824393,2.8018320154193685
Glenrock Wind Farm,Commercial Scale Wind,PacifiCorp,PacifiCorp,PacifiCorp,East of Casper WY,99,66,2008,GE Energy,In Service,"43.004101°, -105.81286°",-105.81286,43.004101,4.741022912824393,2.8018320154193685
Goat Mountain Phase I Wind Farm,Commercial Scale Wind,Cielo/Edison Mission Group,Cielo/Edison Mission Group,Market,North of San Angelo TX,80,80,2008,Mitsubishi,In Service,"31.908696°, -100.824122°",-100.824122,31.908696,4.646342778104435,3.016436812120564
Goat Mountain Phase II Wind Farm,Commercial Scale Wind,Cielo/Edison Mission Group,Cielo/Edison Mission Group,Market,North of San Angelo TX,69.6,29,2009,Mitsubishi,In Service,"31.910008°, -100.869355°",-100.869355,31.910008,3.832401414724256,2.8586335218182097
